Width	Forks	Time	Result
0.001000000	1	0.023180	3.142592
0.001000000	5	0.030280	3.142592
0.001000000	10	0.031945	3.142592
0.001000000	20	0.164018	3.142592
0.001000000	50	0.966704	3.142592
0.001000000	100	0.166820	3.142592
Width	Forks	Time	Result
0.000010000	1	0.011888	3.141623
0.000010000	5	0.148824	3.141676
0.000010000	10	0.019932	3.141765
0.000010000	20	0.050958	3.141894
0.000010000	50	0.250149	3.142399
0.000010000	100	0.104599	3.143241
Width	Forks	Time	Result
0.000000100	1	0.075536	3.141593
0.000000100	5	0.052041	3.141593
0.000000100	10	0.051915	3.141594
0.000000100	20	0.062458	3.141595
0.000000100	50	0.051268	3.141600
0.000000100	100	0.099432	3.141607
Width	Forks	Time	Result
0.000000001	1	6.142252	3.141593
0.000000001	5	2.955967	3.141593
0.000000001	10	2.459342	3.141593
0.000000001	20	1.969140	3.141593
0.000000001	50	1.812106	3.141593
0.000000001	100	1.651094	3.141593
